;name;canton_x;url;firstmention;hab_year;raw_hab_year;notes;place;zipcode;zusatzziffer;commune;bfsnr;canton_y;X;Y;language
352;Corminbœuf;FR;/Articles/000942/?language=de;1142;[{'year': 1811, 'pop': 226, 'unit': 'Einw'}, {'year': 1850, 'pop': 335, 'unit': 'Einw'}, {'year': 1900, 'pop': 414, 'unit': 'Einw'}, {'year': 1950, 'pop': 468, 'unit': 'Einw'}, {'year': 1960, 'pop': 413, 'unit': 'Einw'}, {'year': 2000, 'pop': 1621, 'unit': 'Einw'}];[{'year': 1811, 'pop': 226, 'unit': 'Einw'}, {'year': 1850, 'pop': 335, 'unit': 'Einw'}, {'year': 1900, 'pop': 414, 'unit': 'Einw'}, {'year': 1950, 'pop': 468, 'unit': 'Einw'}, {'year': 1960, 'pop': 413, 'unit': 'Einw'}, {'year': 2000, 'pop': 1621, 'unit': 'Einw'}];;Corminboeuf;[1720];0;Corminboeuf;2183;FR;7.102;46.808;fr
353;Cormoret;BE;/Articles/000263/?language=de;1178;[{'year': 1800, 'pop': 275, 'unit': 'Einw'}, {'year': 1850, 'pop': 478, 'unit': 'Einw'}, {'year': 1900, 'pop': 669, 'unit': 'Einw'}, {'year': 1950, 'pop': 663, 'unit': 'Einw'}, {'year': 2000, 'pop': 530, 'unit': 'Einw'}];[{'year': 1800, 'pop': 275, 'unit': 'Einw'}, {'year': 1850, 'pop': 478, 'unit': 'Einw'}, {'year': 1900, 'pop': 669, 'unit': 'Einw'}, {'year': 1950, 'pop': 663, 'unit': 'Einw'}, {'year': 2000, 'pop': 530, 'unit': 'Einw'}];;Cormoret;[2612];0;Cormoret;432;BE;7.053999999999999;47.173;fr
354;Cornaux;NE;/Articles/002847/?language=de;1212;[{'year': 1750, 'pop': 308, 'unit': 'Einw'}, {'year': 1850, 'pop': 459, 'unit': 'Einw'}, {'year': 1900, 'pop': 522, 'unit': 'Einw'}, {'year': 1950, 'pop': 405, 'unit': 'Einw'}, {'year': 1990, 'pop': 1545, 'unit': 'Einw'}, {'year': 2000, 'pop': 1473, 'unit': 'Einw'}];[{'year': 1750, 'pop': 308, 'unit': 'Einw'}, {'year': 1850, 'pop': 459, 'unit': 'Einw'}, {'year': 1900, 'pop': 522, 'unit': 'Einw'}, {'year': 1950, 'pop': 405, 'unit': 'Einw'}, {'year': 1990, 'pop': 1545, 'unit': 'Einw'}, {'year': 2000, 'pop': 1473, 'unit': 'Einw'}];;Cornaux NE;[2087];0;Cornaux;6451;NE;7.021;47.038000000000004;fr
355;Cornol;JU;/Articles/002985/?language=de;1136;[{'year': 1770, 'pop': 613, 'unit': 'Einw'}, {'year': 1818, 'pop': 674, 'unit': 'Einw'}, {'year': 1850, 'pop': 786, 'unit': 'Einw'}, {'year': 1900, 'pop': 1145, 'unit': 'Einw'}, {'year': 1930, 'pop': 789, 'unit': 'Einw'}, {'year': 1950, 'pop': 831, 'unit': 'Einw'}, {'year': 1970, 'pop': 855, 'unit': 'Einw'}, {'year': 1980, 'pop': 708, 'unit': 'Einw'}, {'year': 2000, 'pop': 797, 'unit': 'Einw'}];[{'year': 1770, 'pop': 613, 'unit': 'Einw'}, {'year': 1818, 'pop': 674, 'unit': 'Einw'}, {'year': 1850, 'pop': 786, 'unit': 'Einw'}, {'year': 1900, 'pop': 1145, 'unit': 'Einw'}, {'year': 1930, 'pop': 789, 'unit': 'Einw'}, {'year': 1950, 'pop': 831, 'unit': 'Einw'}, {'year': 1970, 'pop': 855, 'unit': 'Einw'}, {'year': 1980, 'pop': 708, 'unit': 'Einw'}, {'year': 2000, 'pop': 797, 'unit': 'Einw'}];;Cornol;[2952];0;Cornol;6782;JU;7.164;47.406000000000006;fr
356;Corserey;FR;/Articles/000944/?language=de;1150;[{'year': 1811, 'pop': 162, 'unit': 'Einw'}, {'year': 1831, 'pop': 148, 'unit': 'Einw'}, {'year': 1850, 'pop': 172, 'unit': 'Einw'}, {'year': 1900, 'pop': 232, 'unit': 'Einw'}, {'year': 1950, 'pop': 234, 'unit': 'Einw'}, {'year': 1970, 'pop': 186, 'unit': 'Einw'}, {'year': 2000, 'pop': 262, 'unit': 'Einw'}];[{'year': 1811, 'pop': 162, 'unit': 'Einw'}, {'year': 1831, 'pop': 148, 'unit': 'Einw'}, {'year': 1850, 'pop': 172, 'unit': 'Einw'}, {'year': 1900, 'pop': 232, 'unit': 'Einw'}, {'year': 1950, 'pop': 234, 'unit': 'Einw'}, {'year': 1970, 'pop': 186, 'unit': 'Einw'}, {'year': 2000, 'pop': 262, 'unit': 'Einw'}];;Corserey;[1747];0;Corserey;2185;FR;6.992999999999999;46.773999999999994;fr
357;Corsier (GE);GE;/Articles/002901/?language=de;1297;[{'year': 1860, 'pop': 276, 'unit': 'Einw'}, {'year': 1900, 'pop': 355, 'unit': 'Einw'}, {'year': 1930, 'pop': 309, 'unit': 'Einw'}, {'year': 1950, 'pop': 363, 'unit': 'Einw'}, {'year': 1970, 'pop': 948, 'unit': 'Einw'}, {'year': 2000, 'pop': 1682, 'unit': 'Einw'}];[{'year': 1860, 'pop': 276, 'unit': 'Einw'}, {'year': 1900, 'pop': 355, 'unit': 'Einw'}, {'year': 1930, 'pop': 309, 'unit': 'Einw'}, {'year': 1950, 'pop': 363, 'unit': 'Einw'}, {'year': 1970, 'pop': 948, 'unit': 'Einw'}, {'year': 2000, 'pop': 1682, 'unit': 'Einw'}];;Corsier GE;[1246];0;Corsier (GE);6619;GE;6.226;46.262;fr
358;Cortaillod;NE;/Articles/002830/?language=de;1010;[{'year': 1750, 'pop': 521, 'unit': 'Einw'}, {'year': 1850, 'pop': 1110, 'unit': 'Einw'}, {'year': 1900, 'pop': 1299, 'unit': 'Einw'}, {'year': 1950, 'pop': 1561, 'unit': 'Einw'}, {'year': 2000, 'pop': 4373, 'unit': 'Einw'}];[{'year': 1750, 'pop': 521, 'unit': 'Einw'}, {'year': 1850, 'pop': 1110, 'unit': 'Einw'}, {'year': 1900, 'pop': 1299, 'unit': 'Einw'}, {'year': 1950, 'pop': 1561, 'unit': 'Einw'}, {'year': 2000, 'pop': 4373, 'unit': 'Einw'}];;Cortaillod;[2016];0;Cortaillod;6408;NE;6.846;46.943000000000005;fr
359;Cortébert;BE;/Articles/000264/?language=de;1178;[{'year': 1801, 'pop': 230, 'unit': 'Einw'}, {'year': 1850, 'pop': 326, 'unit': 'Einw'}, {'year': 1870, 'pop': 652, 'unit': 'Einw'}, {'year': 1900, 'pop': 793, 'unit': 'Einw'}, {'year': 1950, 'pop': 750, 'unit': 'Einw'}, {'year': 1980, 'pop': 634, 'unit': 'Einw'}, {'year': 2000, 'pop': 714, 'unit': 'Einw'}, {'year': 1460, 'pop': 90, 'unit': 'Einw'}];[{'year': 1801, 'pop': 230, 'unit': 'Einw'}, {'year': 1850, 'pop': 326, 'unit': 'Einw'}, {'year': 1870, 'pop': 652, 'unit': 'Einw'}, {'year': 1900, 'pop': 793, 'unit': 'Einw'}, {'year': 1950, 'pop': 750, 'unit': 'Einw'}, {'year': 1980, 'pop': 634, 'unit': 'Einw'}, {'year': 2000, 'pop': 714, 'unit': 'Einw'}, {'year': 1460, 'pop': 90, 'unit': 'Einw'}];;Cortébert;[2607];0;Cortébert;433;BE;7.107;47.192;fr
360;Côte-aux-Fées, La;NE;/Articles/002875/?language=de;1337;[{'year': 1671, 'pop': 250, 'unit': 'Einw'}, {'year': 1800, 'pop': 793, 'unit': 'Einw'}, {'year': 1850, 'pop': 979, 'unit': 'Einw'}, {'year': 1900, 'pop': 1096, 'unit': 'Einw'}, {'year': 1950, 'pop': 648, 'unit': 'Einw'}, {'year': 2000, 'pop': 529, 'unit': 'Einw'}];[{'year': 1671, 'pop': 250, 'unit': 'Einw'}, {'year': 1800, 'pop': 793, 'unit': 'Einw'}, {'year': 1850, 'pop': 979, 'unit': 'Einw'}, {'year': 1900, 'pop': 1096, 'unit': 'Einw'}, {'year': 1950, 'pop': 648, 'unit': 'Einw'}, {'year': 2000, 'pop': 529, 'unit': 'Einw'}];;La Côte-aux-Fées;[2117];0;La Côte-aux-Fées;6504;NE;6.49;46.867;fr
361;Cottens (FR);FR;/Articles/000945/?language=de;1138;[{'year': 1811, 'pop': 162, 'unit': 'Einw'}, {'year': 1850, 'pop': 268, 'unit': 'Einw'}, {'year': 1900, 'pop': 403, 'unit': 'Einw'}, {'year': 1950, 'pop': 517, 'unit': 'Einw'}, {'year': 1970, 'pop': 465, 'unit': 'Einw'}, {'year': 2000, 'pop': 963, 'unit': 'Einw'}];[{'year': 1811, 'pop': 162, 'unit': 'Einw'}, {'year': 1850, 'pop': 268, 'unit': 'Einw'}, {'year': 1900, 'pop': 403, 'unit': 'Einw'}, {'year': 1950, 'pop': 517, 'unit': 'Einw'}, {'year': 1970, 'pop': 465, 'unit': 'Einw'}, {'year': 2000, 'pop': 963, 'unit': 'Einw'}];;Cottens FR;[1741];0;Cottens (FR);2186;FR;7.0329999999999995;46.751000000000005;fr
