year;data_pop;ygr;gr;duration
1609;219799.87355096173;1.002076239543646;1.002076239543646;1
1610;222091.23074011662;1.0020860874705524;1.0020860874705524;1
1611;223739.5324738831;1.0021020335594186;1.0042084856639222;2
1613;224685.94812716395;1.0021470397933188;1.0042986893665116;2
1615;225656.55804310436;1.0021891094083797;1.0087852328190956;4
1619;227667.20454275317;1.0022732379828168;1.0022732379828168;1
1620;228184.7462795615;1.0017106743218605;1.0017106743218605;1
1621;230627.0960656622;1.0017692951043284;1.003541720613823;2
1623;233462.38454481258;1.0018182774986006;1.005464756906455;3
1626;236213.97385798203;1.0019999587462378;1.0040039173274622;2
1628;237167.68964126342;1.0020665398033792;1.0020665398033792;1
1629;239499.8061119826;0.9992611777374886;0.9992611777374886;1
1630;240119.85832335986;1.0024405394389924;1.0024405394389924;1
1631;241549.88030768337;1.0024719186359203;1.0024719186359203;1
1632;242836.97195832027;1.0024946929235858;1.0024946929235858;1
1633;243521.77563384973;1.0025220725540083;1.0025220725540083;1
1634;264376.9552204792;1.002727567953733;1.002727567953733;1
1635;265939.0613312441;1.0027823183611833;1.0027823183611833;1
1636;266792.98846454185;1.0028216855259449;1.0028216855259449;1
1637;268719.7943785157;1.0028085725509666;1.0028085725509666;1
1638;269474.5134169086;1.0028630082155316;1.0028630082155316;1
1639;270922.02116269764;1.0029244816454577;1.0029244816454577;1
1640;272281.3276409382;1.0034916490838224;1.0034916490838224;1
1641;273427.03848913766;1.003514615428551;1.0070415833787127;2
1643;281947.37150993943;1.0035242983680002;1.007061017414987;2
1645;284442.5121290711;1.0035583284922192;1.0107130156361268;3
1648;287727.40206397045;1.0036207474505257;1.0036207474505257;1
1649;288769.19032143994;1.003617957710125;1.003617957710125;1
1650;294710.9450400101;1.003283270831693;1.0065773215307403;2
1652;297414.79784609715;1.0033227558945375;1.0033227558945375;1
1653;302540.03461876296;1.0033560590162682;1.0033560590162682;1
1654;303555.3768297274;1.00332239499874;1.0066558283060076;2
1656;305760.25259767374;1.0033482042100568;1.0033482042100568;1
1657;306784.00036268926;1.0033689455175663;1.0033689455175663;1
1658;308867.5389455723;1.0033767978075667;1.0033767978075667;1
1659;309910.5221739122;1.0033935166504997;1.0033935166504997;1
1660;313076.2086910746;1.0033990142134535;1.0033990142134535;1
1661;314140.35917430965;1.0034133809876902;1.0068384131451475;2
1663;316293.21625841485;1.0033657254903547;1.0033657254903547;1
1664;317927.772398802;1.003355718192753;1.003355718192753;1
1665;319415.648408622;1.0033690710325944;1.0033690710325944;1
1666;321576.78241703287;1.0033784291803327;1.0033784291803327;1
1667;342483.2068024682;1.003462351460472;1.003462351460472;1
1668;343669.0040337279;1.003451728948372;1.003451728948372;1
1669;347134.2562836093;1.0034341355506817;1.0034341355506817;1
1670;351877.36237397237;1.0032940621260473;1.0032940621260473;1
1671;355650.46826638177;1.0032898660200322;1.0032898660200322;1
1672;356973.5106569399;1.0032069378839186;1.0032069378839186;1
1673;358618.30253182095;1.0032229831466266;1.0064563539136167;2
1675;361178.3576833593;1.0032339914457926;1.0064784415922567;2
1677;363700.9542946447;1.0032531986174174;1.0032531986174174;1
1678;367627.14573630935;1.0032676817530632;1.006546041250166;2
1680;373897.6125128112;1.0032515657476408;1.0032515657476408;1
1681;375113.3651827826;1.0032695334683666;1.0032695334683666;1
1682;377753.81088467914;1.0032645629949122;1.0032645629949122;1
1683;380700.0119968803;1.0032038477932421;1.0032038477932421;1
1684;382982.7168902037;1.0032091672243253;1.0032091672243253;1
1685;385272.77247273084;1.003206594212724;1.006423470671893;2
1687;389321.0672689558;1.0032353380386785;1.0064811434895815;2
1689;393497.8731861497;1.00309088173602;1.00309088173602;1
1690;395829.1285755435;1.0031107295652384;1.0031107295652384;1
1691;397460.445948586;1.0031059279005814;1.0031059279005814;1
1692;400434.9294370353;1.0030808996892446;1.0030808996892446;1
1693;402077.6292867005;1.0030976632808104;1.0030976632808104;1
1694;403323.1303949772;1.0031110868127857;1.0031110868127857;1
1695;428605.90366724064;1.0030805461311614;1.0030805461311614;1
1696;429926.24392557563;1.0031000838150026;1.0031000838150026;1
1697;431259.0513160141;1.0031169232025963;1.0031169232025963;1
1698;434213.2526593906;1.0031527432716276;1.0031527432716276;1
1699;437419.2155701639;1.003138354103046;1.003138354103046;1
1700;440149.9919600996;1.0031670160106048;1.0031670160106048;1
1701;443171.9540317049;1.0031378385269707;1.0031378385269707;1
